,0
0,0.0
1,-0.959456721292452
2,-0.25621502207117025
3,-0.2303846638862723
4,-0.06619744273429902
5,-0.20338401887482874
6,-0.14570874188726868
7,-0.20371465737470382
8,-0.09800614177937636
9,-0.054551809504632
10,-0.034948807376544176
11,-0.1785527855478981
12,-0.47289720429878684
13,-0.12167996174382546
14,-0.03178589667226614
15,-0.08073474967310121
16,-0.03060089681706054
17,-0.06478615687766177
18,-0.030587294630752663
19,-0.036186518802261466
20,-0.0776958335402502
21,-0.051053236701058165
22,-0.06119237705788644
23,-0.036646885880922464
24,-0.09724044443411593
25,-0.08384908003526971
26,-0.08956492454423434
27,-0.16283895322250985
28,-0.054893159167084586
29,-0.04455902568156802
30,-0.017746638992430997
31,-0.005915002183237261
32,-0.039871970478226784
33,-0.06901414538682886
34,-0.009880890211939587
35,0.08126871840147079
36,0.06622618159957404
37,-0.009151653477559878
38,0.051517450877650334
39,0.0539232227809252
40,0.048213308876083785
41,-0.05287793629431952
42,0.036863762138967075
43,0.012819231775385256
44,-0.02965411725496324
45,0.011551592047998167
46,-0.05877921231281813
47,-0.4190818304000229
48,-0.1871363385598984
49,-0.24765009970322907
50,-0.09894837473266933
51,-0.04760025987060411
52,-0.022306811055103175
53,-0.1400091233148825
54,-0.18657240267063943
55,-0.37517141926950004
56,-0.2916030667083131
57,-0.08347105902245823
58,-0.08483462261852961
59,-0.11005367954745753
60,-0.012740571946025507
61,-0.06714378548631966
62,-0.03079530980850626
63,-0.20245582104279786
64,-0.07943262544274045
65,-0.39118842515695934
66,-0.2060934351428458
67,-0.07449756955343456
68,-0.24146956757496907
69,-0.12438769001435371
70,-0.11943272697064714
71,-0.07856752865896002
72,-0.055016542234946286
73,-0.3519828839085705
74,-0.1969422152570031
75,-0.1064070108827183
76,-0.06362431151909438
77,-0.0544369829888995
78,-0.09036010474145925
79,-0.06330078322084598
80,-0.1123804872763719
81,-0.0964773285872775
82,-0.07472716384378683
83,-0.027651675827571536
84,-0.019340525815602347
85,-0.07158667398949653
86,-0.063951448952426
87,-0.06894016141258091
88,-0.05083606848703516
89,-0.025431570660607163
90,-0.03585076782637199
91,-0.04553637894183019
92,-0.02118985602551481
93,0.024426861141044948
94,0.04606811111130388
95,0.046108864506337256
96,0.0108667589858493
97,-0.0004039669502981921
98,0.0003324342559460408
99,-0.022173651879111602
100,0.0014963491230134342
101,0.0021188092743365636
102,-0.006478285026797737
103,0.00036490656023292084
104,-0.011934055484286025
105,-0.006566192467939174
106,-0.057453161203819075
107,-0.047518941521568325
108,-0.046845502153834075
109,-0.038216820940869665
110,-0.015691800530005105
111,-0.012358191327108544
112,-0.028335214161890943
113,-0.03427443520433831
114,-0.05188624751953542
115,-0.020247088273094235
116,-0.0023751375933182034
117,-0.049475917856156494
118,-0.051680034033967856
119,-0.03693472305413864
120,-0.0012812069108345252
121,-0.044468849565637285
122,-0.02951527480234195
123,-0.023464173745127926
124,0.0038527197441575053
125,-0.08033237210276921
126,-0.004868692386273805
127,-0.024912127399560544
128,-0.058134224878793356
129,-0.006661584342208326
130,-0.0666052798028975
131,-0.05110414682546844
132,-0.24332293258815707
133,-0.05339519644015441
134,-0.042589141499749836
135,-0.02850087071111915
136,-0.06164764092606549
137,-0.04514906885419457
138,-0.11135731167634572
139,-0.046087258207866355
140,0.008192735723057551
141,0.010717960488600988
142,0.006940242222348223
143,-0.02795316072522879
144,-0.0017135585210808506
145,-0.0025621695126262656
146,0.0045436430305810785
147,-0.004388988380222857
148,0.005457896806215503
149,-0.0010283228120960878
150,0.0033230337511887024
151,-0.017824137840681733
152,-0.0012955236377886383
153,-0.0028440968218310585
154,-0.00281083111559562
155,-0.016129293968129236
156,0.003309041097682661
157,0.0046760899532133525
158,-0.063004838749161
159,-0.010105329342239868
160,-0.030051185714630866
161,-0.010977403521588127
162,-0.00686515568597391
163,-0.08341292322988936
164,-0.0020350847848795922
165,-0.01542218841030621
166,-0.010616911592437682
167,-0.11256612515936311
168,-0.008957639283964756
169,-0.00013802215566429237
170,-0.09868679878518105
171,-0.07264697047676495
172,-0.006802955008967409
173,-0.057801150089171874
174,-0.35706395730722523
175,-0.12556313160218552
176,-0.05035704825410203
177,-0.30915323477317247
178,-0.09440976081604323
179,-0.16246733738977837
180,-0.06122987928548646
181,-0.03206954501497861
182,-0.0187207891909422
183,-0.05736411864195459
184,-0.026801838721386462
185,-0.060265184379205805
186,-0.17921374928790704
187,-0.06173766412808627
188,-0.0800518424732356
189,-0.06955044418461032
190,-0.23302284516189795
191,-0.08565085943776564
192,-0.046112307398457474
193,-0.017556860172356293
194,-0.04387768646030739
195,-0.019172977637196508
196,-0.12564678921986971
197,-0.025400774916851825
198,0.04985224150683012
199,-0.006308721939805859
200,0.050932258204392934
201,0.04133641492359068
202,-0.006336962785398107
203,0.017761682999600573
204,-0.11576529200024298
205,-0.030523372429895234
206,-0.014112783323716413
207,-0.1783032744250566
208,-0.053043852611349925
209,-0.06212606027997619
210,-0.07309528367866489
211,-0.06646934814282954
212,-0.029394239995431795
213,-0.027587687334835756
214,-0.027670741915329013
215,-0.0667921617524682
216,-0.07334846294771097
217,-0.0313404000944743
218,-0.02244174723247868
219,-0.030512278143991763
220,-0.036803695024103675
221,-0.04112234935119183
222,-0.028844087852341185
223,-0.010876362845047331
224,-0.03311872267053196
225,-0.11953185490147937
226,-0.0700921401001291
227,-0.02179929695541422
228,-0.04904625287003212
229,-0.036252380253929746
230,-0.1109188689090778
231,-0.07315717678293285
232,-0.035625183187868996
233,-0.03453655817945388
234,-0.010608613253628984
235,-0.011077777441334508
236,-0.06252485853353269
237,-0.0784886180397278
238,-0.05634711478911964
239,-0.029953684681570465
240,-0.021989696163504213
241,-0.1062397407374274
242,-0.054398135818139265
243,-0.014889700625171825
244,-0.007366746318710198
245,-0.0022564977525498017
246,0.0013061142276709215
247,-0.02336131397187646
248,-0.013854767379075539
249,-0.05701986473267535
250,-0.09368202709281652
251,-0.01173600571377389
252,0.003962179398958316
253,0.006681722164523751
254,0.002426435385770189
255,-0.010130478141916168
256,-0.01624995545672079
257,-0.010381508487839357
258,-0.05830590546013895
259,-0.046590484778793254
260,-0.13959906782546186
261,-0.0555871720140949
262,-0.0068660935495369535
263,0.00711010497834833
264,-0.0042302343002590705
265,-0.001022647539122756
266,-0.1371478869811989
267,-0.04991483298854219
268,-0.036853605423304285
269,-0.11767138191825445
270,-0.12738745706755675
271,-0.13315186325954964
272,-0.0423564132127217
273,-0.03394635564573003
274,-0.053493038173555725
275,-0.03836788461572973
276,-0.033474302438357244
277,-0.1405119458032906
278,-0.04442248011786129
279,-0.047006778656510984
280,-0.07175089394014296
281,-0.040479614362497855
282,-0.05880443408868074
283,-0.04653966860902583
284,-0.03775303853139073
285,-0.009890026409719671
286,-0.0008721213956586089
287,-0.005703736883168423
288,-0.11551732042534987
289,-0.3284881059165373
290,-0.09066974826496647
291,-0.11223203995587971
292,-0.05402173984450711
293,-0.04815336857404732
294,-0.0922012407081994
295,-0.06862872518360226
296,-0.05191071137110944
297,-0.03848226453670379
298,-0.05536221555276713
299,-0.039910512496963625
300,-0.03720478909682865
301,-0.08384030981451752
302,-0.06135044988433058
303,-0.031064528586042802
304,-0.023527242540376074
305,-0.0023441632139668354
306,-0.0020615017586091927
307,-0.010502151561420621
308,-0.006273371719540681
309,-0.12898766892946908
310,-0.05109671918796821
